Actual \ Predicted,Normal,DoS,Reconnaissance,Shellcode,Worms
Normal (560),556,0,2,0,2
DoS (123),4,118,1,0,0
Reconnaissance (105),2,4,99,0,0
Shellcode (11),1,6,1,3,0
Worms (8),4,0,1,0,3
