class,precision,recall,f1,support
Normal,0.928,0.9343,0.9311,56000
DoS,0.8523,0.8242,0.838,22264
Reconnaissance,0.8663,0.8218,0.8435,20491
Shellcode,0.7861,0.8219,0.8036,11133
Worms,0.7862,0.8559,0.8195,10130
